rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Litchi,25907.716666666667,55033.833333333336,93988.56785714286,134755.45,188005.3011904762,245609.25714285715,298778.7654761905,350607.62976190477,393231.10357142857,424156.82738095237,444169.2642857143,436358.7357142857,413427.29404761904,379799.8357142857,328344.09642857144,273368.7392857143,215037.8392857143,151710.75357142856,91768.18928571428,42318.8
Mushroom,17051.966666666667,39984.04880952381,64050.57619047619,98328.65277777778,139535.40634920634,189122.80634920634,249393.91825396827,308236.9075396825,358055.34087301587,399792.34206349205,419667.16349206347,432310.00873015873,429631.9011904762,418324.6440476191,383881.9630952381,332137.6642857143,274966.20238095237,214092.05714285714,144739.725,73074.70476190477
Nut,8943.491666666667,21620.861904761903,40453.15833333333,66451.28015873017,96861.73492063492,133383.4992063492,184435.9242063492,240648.67063492062,295366.2027777778,347508.8849206349,394589.43968253967,426504.93134920637,448563.75833333336,452502.8154761905,441123.46904761903,407066.075,361271.6630952381,295672.95595238096,210322.15952380953,113087.02380952382
Orange,5843.502380952381,14986.832142857143,27945.664285714287,42732.348809523806,69651.81547619047,100810.75714285714,142367.95396825398,181185.90158730157,238190.2396825397,297580.2408730159,363748.74206349207,402211.84087301587,439539.21706349205,455430.39206349204,465090.70873015875,458717.35476190475,428123.80476190476,378941.95238095237,294804.44523809524,178474.2857142857
Pear,2235.866666666667,8655.147619047619,16806.35357142857,28122.836904761905,44344.87380952381,66473.23452380953,97225.76111111112,138558.23492063492,188566.15634920634,243106.03373015873,297388.83015873015,355851.9718253968,409515.1253968254,454652.1123015873,482553.08015873015,505051,507942.4,468050.70357142854,397836.50833333336,273441.7690476191
Quinoa,1156.6833333333334,4942.802380952381,11321.067857142858,20826.843253968254,34664.49801587302,49186.51587301587,70973.71944444445,101260.80277777778,140502.0873015873,190653.45396825398,249693.05873015872,316998.5468253968,379905.3119047619,431978.7773809524,471701.50238095236,510896.6404761905,542836.7583333333,547923.4559523809,506932.2380952381,402023.2357142857
Radish,1176.4,3068.127380952381,6097.115476190476,12029.546428571428,19646.915476190476,32629.859523809522,49608.880952380954,71712.54880952381,104236.48452380953,144334.6,191077.35595238095,251911.43214285714,316100.83928571426,381667.1214285714,454048.8785714286,521467.0488095238,583101.5869047618,614760.2083333334,639758.2380952381,587944.8119047619
Soy,347.4,1650.9404761904761,3214.5988095238095,6767.410714285715,11799.360714285714,21269.905952380952,34006.43650793651,50508.403174603176,74404.5507936508,106481.82103174603,149402.7472222222,202345.93174603174,269658.99126984127,336659.47698412696,413779.8353174603,494196.60833333334,580369.5630952381,671642.1166666667,764191.8321428571,793680.069047619
Tomato,323.3333333333333,847.75,1703.4761904761904,4393.277777777777,8392.477777777778,13149.80873015873,21724.451587301588,33798.03968253968,51915.633730158734,74680.5253968254,106490.42539682539,148135.55634920634,210573.86428571428,277054.90714285715,356905.6023809524,457215.3,566388.6154761905,700686.0666666667,877298.6023809523,1074700.2857142857
Vanilla,177.33333333333334,314.45,1210.4071428571428,2515.842857142857,4636.921428571429,7812.073809523809,13889.666666666666,23266.394047619047,35261.55238095238,54540.50119047619,80145.67261904762,113637.57261904761,160272.42261904763,224599.93214285714,307085.1964285714,406889.2380952381,521823.6821428572,694775.85,931176.9547619048,1402346.3357142857
