rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Litchi,3114.883333333333,5291.8452380952385,9297.136904761905,14036.789285714285,18150.268650793652,23871.949603174602,30776.629365079367,35441.13412698413,39598.66507936508,42083.61031746032,44856.40912698413,42740.19484126984,40961.104365079365,37976.877380952385,33265.68095238095,29226.004761904762,20450.059523809523,15375.466666666667,8854.240476190476,3984.05
Mushroom,1313.75,3052.292857142857,5584.6261904761905,9627.34761904762,14168.067460317461,19233.503174603175,26219.782936507938,30561.7876984127,36579.49722222222,39644.531746031746,42450.91984126984,43847.67222222222,43404.293650793654,41466.05,38738.75357142857,32438.251190476192,28371.741666666665,21132.240476190476,13955.307142857142,7562.583333333333
Nut,1235.5833333333333,2324.0666666666666,3868.5416666666665,6110.591666666666,9910.607936507937,14077.172222222222,18070.631746031748,24423.184126984128,29389.91507936508,36444.51388888889,38991.34007936508,41084.8876984127,44736.33888888889,45829.340476190475,43632.25476190476,41666.57380952381,35936.416666666664,29662.09880952381,20987.790476190476,10971.15
Orange,533.9666666666667,1123.5523809523809,2462.711904761905,4388.9857142857145,6523.010317460317,10465.155555555555,13748.278174603174,19610.44484126984,24157.228174603173,30955.804365079366,35076.26507936508,40892.6126984127,43831.80079365079,44444.44761904762,47669.755952380954,46320.72023809524,42014.80119047619,36341.691666666666,30226.95,18564.816666666666
Pear,361.93333333333334,1076.5833333333333,2084.0666666666666,3007.266666666667,4810.382142857143,6728.625,8873.94642857143,12650.360714285714,18862.094047619048,23423.428571428572,29752.836904761905,36538.44642857143,40308.45238095238,45203.66428571429,48522.2,50758.2,50015.607142857145,47342.88214285715,40389.79047619048,28642.233333333334
Quinoa,114.66666666666667,417.68095238095236,905.2476190476191,2230.6714285714284,2974.5261904761905,5012.292857142857,7336.277380952381,10058.02738095238,13996.286904761904,19019.234523809522,24849.260714285716,30844.59642857143,36662.80357142857,42703.79404761905,46917.85238095238,53738.9119047619,53761.71428571428,53521.54761904762,52039.04047619048,42248.566666666666
Radish,23,415.93333333333334,745.0833333333334,934.95,1836.5416666666667,2891.7083333333335,4804.475,6703.460714285714,9764.020238095238,13970.969047619048,18729.10357142857,25862.553571428572,32810.80238095238,39274.33571428571,45892.48333333333,50780.973809523806,57768.55,63542.74880952381,63048.473809523806,59552.833333333336
Soy,0,188.35,365.01666666666665,597.25,1263.9055555555556,2024.7055555555555,3151.7210317460317,4780.587698412698,7120.835317460317,9686.355555555556,13815.805555555555,20857.28888888889,27173.338888888888,35105.37619047619,43934.50119047619,51247.50357142857,59752.708333333336,66824.08333333333,72837.28333333334,78626.38333333333
Tomato,85,62,319.93333333333334,482.46666666666664,519.3666666666667,1130.7666666666667,2346.3845238095237,3396.1178571428572,5164.1654761904765,6912.4154761904765,10803.783333333333,14859.95,20309.266666666666,27213.040476190476,35098.215476190475,43741.534523809525,56452.60119047619,71445.89166666666,91428.48333333334,107581.61666666667
Vanilla,0,45,85.91666666666667,183.61666666666667,638.4333333333333,1065.5833333333333,1568.345238095238,2304.595238095238,3878.754761904762,5836.869047619048,8002.652380952381,11699.452380952382,17229.569047619047,22746.957142857143,31542.340476190475,41108.23095238095,52096.46666666667,69405.1,92663.81666666667,137251.3
